manual_topic,sub_cluster,size,label_terms
ओली,0,669,"२०७४, तुलन, तामाङ, तार, ताल"
ओली,1,27,"२०७४, तुलन, तामाङ, तार, ताल"
ओली,2,22,"मलाई, मधेस, लाम, उस्त, कर्णाल"
ओली,3,230,"बैंक, रुपैय, प्रतिशत, करोड, सेयर"
ओली,4,11,"नोट, पुरान, फर्किन, प्रणाल, पैस"
देउवा,0,231,"२०७४, तिर्न, तल्ल, तसर्थ, तहक"
देउवा,1,37,"मधेस, नेपाल, कुर, कर्णाल, निर्वाचन"
देउवा,2,230,"बैंक, रुपैय, प्रतिशत, कम्पन, सेयर"
देउवा,3,11,"नोट, पुरान, फर्किन, प्रणाल, पैस"
प्रचण्ड,0,771,"२०७४, तिम, तर्क, तर्फ, तलब"
प्रचण्ड,1,27,"२०७४, तिम, तर्क, तर्फ, तलब"
प्रचण्ड,2,22,"मलाई, मधेस, लाम, उस्त, कर्णाल"
प्रचण्ड,3,230,"बैंक, रुपैय, प्रतिशत, करोड, सेयर"
प्रचण्ड,4,11,"नोट, पुरान, फर्किन, प्रणाल, पैस"
नेपालप्रसाद,0,62,"२०७४, तिर्न, तल्ल, तसर्थ, तहक"
नेपालप्रसाद,1,39,"मधेस, नेपाल, कुर, कर्णाल, एउट"
नेपालप्रसाद,2,230,"बैंक, रुपैय, प्रतिशत, सेयर, कम्पन"
नेपालप्रसाद,3,11,"नोट, पुरान, फर्किन, प्रणाल, पैस"
सरकार,0,142,"२०७४, तीव्र, तसर्थ, तहक, तहम"
सरकार,1,20,"मधेस, नेपाल, निर्वाचन, मलाई, भाष"
सरकार,2,177,"बैंक, रुपैय, सेयर, प्रतिशत, कम्पन"
सरकार,3,11,"नोट, पुरान, फर्किन, प्रणाल, पैस"
नेपाली कांग्रेस,0,78,"२०७४, तुलन, तहम, तामाङ, तार"
नेपाली कांग्रेस,1,26,"कर्णाल, कुर, उस्त, मधेस, समाज"
नेपाली कांग्रेस,2,230,"बैंक, रुपैय, सेयर, प्रतिशत, कम्पन"
नेपाली कांग्रेस,3,11,"नोट, पुरान, फर्किन, प्रणाल, पैस"
एमाले,0,830,"२०७४, तोक, तालिम, तिन, तिब्बत"
एमाले,1,27,"२०७४, तोक, तालिम, तिन, तिब्बत"
एमाले,2,26,"कुर, नेपाल, मधेस, भन्न, समाज"
एमाले,3,230,"बैंक, रुपैय, प्रतिशत, सेयर, कम्पन"
एमाले,4,11,"नोट, पुरान, फर्किन, प्रणाल, पैस"
माओवादी केन्द्र,0,637,"२०७४, तीव्र, तसर्थ, तहक, तहम"
माओवादी केन्द्र,1,27,"२०७४, तीव्र, तसर्थ, तहक, तहम"
माओवादी केन्द्र,2,26,"मधेस, कुर, मलाई, लाम, उस्त"
माओवादी केन्द्र,3,230,"बैंक, रुपैय, प्रतिशत, कम्पन, सेयर"
माओवादी केन्द्र,4,11,"नोट, पुरान, फर्किन, प्रणाल, पैस"
